project,lines_of_code
C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\thisisfine-046,1061122
C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\ValaryLim,5221
C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\woodyx218,1452
C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\XAI-Demonstrator,103701
C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\yash12khandelwal,264748
C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\bargavj,3548
C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\dkober123,217919
C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\eunbeejang,1372
C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\FarrandTom,7668
C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\gkaissis,27645
C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\hitimr,8436
C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\intel,38520
C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\MisaNguyen,257021
C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\msai-amin,10436
C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\parkbeomsik,64940
C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\simontkl,1137
C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\sisaman,4333
C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\woodyx218,11748
C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\wyshi,103950
